"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"Brunei Darussalam ","Asia","2008","16360","49910","6424","16.1","1091","2.7","13.4","45","7","76.6","79.8","1.7"
"Sweden ","Europe","2010","539682","42200","115641","12.3","90487","9.6","2.7","294","2.5","79.5","83.5","1.99"
"Switzerland ","Europe","2010","659308","52570","80290","10.3","62649","8","2.3","307","3.8","79.9","84.4","1.54"
"Italy ","Europe","2008","2193971","32400","576659","9.6","578192","9.7","0","1997","3.5","78.8","84.1","1.41"
"Fiji ","Oceania","2007","3818","4610","19298","23.1"," "," "," "," "," ","65.3","69.6"," "
"Estonia ","Europe","2010","22155","20850","15825","11.8","15790","11.8","0","53","3.3","70.6","80.7","1.64"
"Pakistan","Asia","2007","210216","2870","3830973","24","1019533","6.4","17.6","288192","75.2","63.6","67.6","3.7"
"Saudi Arabia","Asia","2009","576824","24700","601949"," ","98289"," "," ","10409"," ","72.5","74.7","3.04"
"Bangladesh","Asia","2010","111879","1940","2868494"," ","842095"," "," ","104591"," ","66.7","68.8","2.12"
"Réunion","Africa","2009"," ","86440","14299","17.5","4109","5","12.5"," "," ","74.9","82.7"," "
"Seychelles","Africa","2011","1007","25140","1625","18.6","691","7.9","10.7","16"," ","67.7","78.1","2.38"
"Finland ","Europe","2009","263011","37670","60163","11.3","49636","9.3","2","158","2.6","76.5","83.1","1.86"
"Egypt ","Africa","2011","229531","8510","2442094","30.4","493096","6.1","24.2"," "," ","68.6","71.4"," "
"Portugal","Europe","2010","237374","24440","101381","9.5","105953","10","-0.4","255","2.5","76.1","82.1"," "
"Maldives","Asia","2010","2050","7430","7115","22.3","1105","3.5","18.8","78","11","72.6","74.4"," "
"China, Macao SAR","Asia","2010","36428","8390","5114","9.4","1774","3.3","6.1","15"," ","79.5","85.4","1.06"
"Russian Federation ","Europe","2009","1857770","20560","1761687","12.4","2010543","14.2","-1.8","14271","8.1","62.8","74.7","1.54"
"Tajikistan ","Asia","2009","6522","2300","199800"," ","32300"," "," "," "," ","70.5","75.3"," "
"Denmark","Europe","2010","333616","41900","63411","11.4","54368","9.8","1.6","216","3.4","77.1","81.2","1.88"
"Nicaragua","North_America","2010","9317","3730"," "," "," "," "," "," "," ","63.4","68.9",""
"Dominica ","North_America","2008","484","13000","964","13.5","545","7.6","5.9"," "," ","73.8","78.2",""
"Mongolia ","Asia","2010","8761","4290","63270","22.9","18293","6.6","16.3","1275","20.2","64.9","72.3","2.39"
"Azerbaijan ","Asia","2010","63404","8960","165643","18.3","53580","5.9","12.4","1843","11.1","70.9","76.1"," "
"Faeroe Islands ","Europe","2008","2198","","665","13.7","378","7.8","5.9"," "," ","76.8","82.3"," "
"New Zealand ","Oceania","2011","159706","28930","61403","13.9","30082","6.8","7.1","290","4.7","79.1","82.8","2.06"
