"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"French Guiana","South_America","2007","2577","35910","6386","30","690","3.2","26.7","77","12.1","75.1","80.8",""
"Ukraine","Europe","2010","165245","7040","497689","10.9","698235","15.3","-4.4","4564","9.2","65.3","75.5","1.43"
"Democratic People's Republic of Korea ","Asia","2008","1116247","24370","345630","14.4","216616","9","5.4","6686","19.3","65.6","72.7","2"
"Jordan ","Asia","2007","28840","5930","185011","32.3","20924"," "," "," "," ","71.6","74.4","3.6"
"Finland ","Europe","2009","263011","37670","60163","11.3","49636","9.3","2","158","2.6","76.5","83.1","1.86"
"Luxembourg","Europe","2007","59201","64260","5477","11.4","3866","8.1","3.4","10"," ","77.6","82.7","1.61"
"Greenland ","North_America","2010","1268"," ","869","15.4","504","8.9","6.5","6"," ","67.8","72.8","2.28"
"Mexico ","North_America","2008","1153343","15390","2243145"," ","538288","5"," ","29519"," ","72.8","77.5","2.1"
"Kyrgyzstan ","Asia","2010","5919","2180","146123","28.1","36174","7","21.2","3337","22.8","65.3","73.5","3.06"
"Guam","Oceania","2008"," "," ","3466","19.7","775","4.4","15.3","31","8.9","75.9","82.2",""
"Cuba","North_America","2007"," "," ","112472","10","81927","7.3","2.7","592","5.3","76","80","1.43"
"Malawi","Africa","2007","5621","870","626181"," ","206527"," "," "," "," ","45.7","48.3"," "
"Bolivia (Plurinational State of) ","South_America","2011","23949","4890"," "," "," "," "," "," "," ","64.6","68.9","3.21"
"Qatar","Asia","2010","172982","86440","19504","11.4","1970","1.1","10.2","132","6.8","78","78.8","2.08"
"Costa Rica","North_America","2010","40870","11860","70922","15.5","19077","4.2","11.4","671","9.5","76.8","81.8","1.81"
"Poland ","Europe","2010","514496","20430","413300","10.8","378478","9.9","0.9","2057","5","72.1","80.6","1.38"
"Germany ","Europe","2011","3600833","40230","662685","8.1","852328","10.4","-2.3","2408","3.6","77.7","82.7"," "
"Northern Mariana Islands ","Oceania","2009"," "," ","1110"," "," "," "," "," "," ","74.5","79.9","2.2"
"Greece ","Europe","2009","289627","25100","117933","10.5","108316","9.6","0.9","371","3.1","77.7","82.8","1.52"
"Oman","Asia","2008","71782","25720","58280"," ","7298"," "," ","534"," ","72.2","75.7","2.61"
"China, Hong Kong SAR ","Asia","2009","248612","8390","82095","11.7","41175","5.9","5.8","136","1.7","79.7","85.9","1.04"
"Venezuela (Bolivarian Republic of) ","South_America","2007","316482","4330","615371","22.4","118594","4.3","18.1","6340","10.3","70.7","76.6","2.58"
"Paraguay","South_America","2010","23837","5390"," "," "," "," "," "," "," ","69.7","73.9",""
"Antigua and Barbuda","North_America","2010","1118","17900","1255","13.8","491","5.4","8.4","11"," ","74","79.7",""
"Dominica ","North_America","2008","484","13000","964","13.5","545","7.6","5.9"," "," ","73.8","78.2",""
"Mongolia ","Asia","2010","8761","4290","63270","22.9","18293","6.6","16.3","1275","20.2","64.9","72.3","2.39"
"Cyprus","Asia","2007","24690","30970","8575","10.9","5391","6.9","4.1","32","3.7","78.3","81.9","1.39"
"Sweden ","Europe","2010","539682","42200","115641","12.3","90487","9.6","2.7","294","2.5","79.5","83.5","1.99"
"Australia ","Oceania","2010","1379382","38110","297903","13.4","143473","6.4","6.9","1229","4.1","79.5","84","1.89"
"Iceland ","Europe","2010","14026","31020","4907","15.4","2020","6.4","9.1","11"," ","79.5","83.5","2.2"
"Viet Nam","Asia","2011","123600","12430"," "," "," "," "," "," "," ","70.4","75.8","1.99"
"Algeria ","Africa","2010","188681","8310","887810","24.7","157000"," "," "," "," ","75.6","77"," "
"Dominican Republic ","North_America","2010","55611","9420","121159"," ","34157"," "," ","480"," ","69.2","75.5","2.56"
"United Kingdom of Great Britain and Northern Ireland ","Europe","2008","2445408","36010","794383","12.9","579697","9.4","3.5","3745","4.7","77.5","81.7","1.96"
"China, Macao SAR","Asia","2010","36428","8390","5114","9.4","1774","3.3","6.1","15"," ","79.5","85.4","1.06"
"Belarus ","Europe","2010","55132","14460","108050","11.4","137132","14.5","-3.1","429","4","64.6","76.5"," "
"Ecuador","South_America","2010","65945","8510","219162"," ","61681"," "," ","3204"," ","72.1","78","1.9"
"New Zealand ","Oceania","2011","159706","28930","61403","13.9","30082","6.8","7.1","290","4.7","79.1","82.8","2.06"
"Switzerland ","Europe","2010","659308","52570","80290","10.3","62649","8","2.3","307","3.8","79.9","84.4","1.54"
"Hungary ","Europe","2010","140029","20310","90335","9","130456","13","-4","481","5.3","70.5","78.1","1.26"
"Malta ","Europe","2010","8887","24480","4008","9.6","3010","7.2","2.4","22"," ","78.9","83.1","1.37"
"Saudi Arabia","Asia","2009","576824","24700","601949"," ","98289"," "," ","10409"," ","72.5","74.7","3.04"
"United States","North_America","2008","14991300","48820","4247694","14","2471984","8.1","5.8","28059","6.6","75.6","80.6","2.09"
"Egypt ","Africa","2011","229531","8510","2442094","30.4","493096","6.1","24.2"," "," ","68.6","71.4"," "
"Kazakhstan","Asia","2008","188050","11250","356575","22.7","152706","9.7","13","7322","20.5","61.9","72.4","2.68"
"French Polynesia ","Oceania","2010"," "," ","4579","17.1","1261","4.7","12.4","25"," ","73.2","78.3",""
"Italy ","Europe","2008","2193971","32400","576659","9.6","578192","9.7","0","1997","3.5","78.8","84.1","1.41"
"Saint Helena ","Africa","2009"," ","1270","35","8.5","41","9.9","-1.5"," "," ","72.5","79.2"," "
"Brunei Darussalam ","Asia","2008","16360","49910","6424","16.1","1091","2.7","13.4","45","7","76.6","79.8","1.7"
"Netherlands ","Europe","2009","836074","43140","184915","11.2","134235","8.1","3.1","711","3.8","78.5","82.7","1.79"
